speaker_a,speaker_b,scenes_together,mean_sentiment,std_sentiment,total_interactions,sentiment_trend,seasons_together
Michael,Stanley,177,0.1313405153901217,0.37209715102013424,1397,-0.009940680827193996,7
Angela,Michael,175,0.13017367288378767,0.387821764464914,1394,-0.5827746380386529,7
Phyllis,Stanley,171,0.05872034220532319,0.29292875674019814,526,0.3140072211253707,9
Andy,Oscar,167,0.11408161925601751,0.34470651616696896,914,0.164224073910945,7
Dwight,Stanley,164,0.0689939140811456,0.3263549147486869,838,0.5892806799258071,9
Kevin,Phyllis,153,0.07763757225433526,0.3080002109992929,519,-0.12043343106648147,9
Oscar,Phyllis,150,0.10358030592734226,0.31097034283766,523,-0.4537702873028269,9
Jim,Stanley,149,0.09310000000000002,0.30348369814682297,734,0.07124700291815331,9
Jan,Michael,146,0.14234259501965923,0.3335195147087529,1526,-0.5992466612395646,6
Angela,Phyllis,145,0.08039644268774704,0.3063205819401495,506,0.2680777065663601,9
Dwight,Erin,144,0.0820474213836478,0.3516676815429282,795,0.3091476740397931,5
Dwight,Ryan,142,0.09742240566037735,0.34117494363314654,848,-0.1135347805632534,8
Andy,Angela,141,0.11393494764397906,0.33475208439442294,764,0.13211768546996291,7
Andy,Darryl,137,0.11787638737758434,0.34775825752594597,919,0.19958315781945657,7
Pam,Ryan,134,0.14401557788944722,0.3271537007326342,796,0.6129097170052457,8
Angela,Jim,133,0.10957795620437957,0.3121061059916687,685,0.6113995758285227,8
Jim,Ryan,133,0.14704222503160558,0.3177722568019847,791,0.32166642940127504,9
Andy,Stanley,131,0.09208793706293707,0.3374709611096158,572,-0.17484803952936329,7
Kelly,Pam,124,0.14189902280130293,0.33421861878959536,614,-0.05118501731814409,7
Kelly,Michael,124,0.14736535677352638,0.38289527237413795,967,-0.7584970671720894,7
Michael,Toby,123,0.11697821969696971,0.3699057349451551,1056,0.026345842765102555,7
Dwight,Meredith,121,0.08457213675213675,0.3308435506420175,585,-0.47470971529983097,9
Pam,Stanley,120,0.06395157894736843,0.3004465616249315,475,-0.3180586563268429,9
Erin,Pam,117,0.12839566613162118,0.3148610556471537,623,-0.5026054627929466,5
Holly,Michael,116,0.13715797629899726,0.3437564856869983,1097,-0.7776884887081214,3
Meredith,Pam,115,0.10895395256916995,0.32390875214723475,506,-0.5204504202896052,9
Erin,Michael,115,0.1472474736842105,0.3412540680442881,950,-0.9879823954010962,3
Erin,Jim,112,0.1258746086956522,0.31564138310619966,575,-0.06965346223907076,5
Meredith,Michael,111,0.1356198113207547,0.3861558713649024,848,-0.725456730585227,7
Darryl,Michael,109,0.12069927685950413,0.35188924641901864,968,0.061564799856131454,7
Dwight,Kelly,108,0.06738944805194805,0.36008383602062966,616,0.26525910791693336,8
Kelly,Ryan,105,0.10685396551724138,0.3237354207631418,580,-0.18974693741060333,8
Kevin,Meredith,104,0.08855525606469003,0.31741025506360626,371,-0.5597676062502492,8
Jim,Kelly,104,0.14159780775716696,0.3248374906380581,593,0.032392247580125155,8
Erin,Kevin,104,0.12506794582392777,0.3135084166727813,443,0.15897771162578056,5
Meredith,Oscar,100,0.0657530183727034,0.31670459773805343,381,-0.2885731513664555,9
Oscar,Stanley,97,0.07141987577639751,0.30663003773233977,322,-0.3341589263203031,9
Andy,Meredith,95,0.10303704496788008,0.35340664626071533,467,0.2476265232310056,7
Darryl,Dwight,95,0.09413286467486819,0.334987073473634,569,0.5481908967194473,9
Jim,Meredith,95,0.10873386138613861,0.3204981478792047,505,-0.25104058427872944,8
Kevin,Stanley,92,0.05177016949152543,0.29026374013809286,295,0.7770177155164206,9
Darryl,Jim,90,0.14228097731239092,0.3246763769936972,573,0.7890353628490039,9
Darryl,Kevin,88,0.0841821608040201,0.3074421037269857,398,0.3473030049243452,8
Angela,Meredith,85,0.0731734756097561,0.32811858773868247,328,-0.5995084020851033,9
Kelly,Kevin,85,0.11346927899686518,0.34016962438008896,319,0.36077980500400564,9
Meredith,Phyllis,84,0.08916811594202897,0.3414608107642145,276,-0.5336061063939033,9
Andy,Kelly,84,0.12127384615384613,0.34889774873767543,455,0.5349591943318147,6
Creed,Jim,83,0.1380034398034398,0.3185878714435306,407,0.1924925463060182,8
Angela,Kelly,82,0.0902200647249191,0.35163804866269766,309,0.10200384818285105,7
Erin,Phyllis,82,0.1106437037037037,0.26977317800602,270,-0.8176571838063187,5
Creed,Dwight,81,0.07525000000000001,0.32006075494324304,372,0.7155150969878205,8
Dwight,Nellie,80,0.12033035019455252,0.391287308551823,514,1.0,2
Creed,Michael,78,0.10744619205298014,0.37320233673053105,604,0.8816968231157989,6
Erin,Oscar,78,0.09358981481481482,0.31338838462598484,324,0.04772674083116264,5
Kelly,Phyllis,77,0.11662068965517243,0.30872848756721444,261,0.2954358762353165,7
Kelly,Oscar,76,0.0996227414330218,0.32624173970033726,321,-0.621647389076894,8
Darryl,Pam,76,0.16201424657534247,0.3168124150306977,365,0.599290157421301,8
Angela,Stanley,75,0.03346875,0.28999489058447936,240,0.2388475732959848,9
Andy,Ryan,74,0.14910878859857482,0.34376720737750527,421,0.6643468274226368,6
Dwight,Toby,74,0.08274583333333332,0.32295112895138206,480,0.49903194837821124,8
Creed,Pam,74,0.14824624277456647,0.3137251092312884,346,-0.05569624083373984,8
Jim,Toby,73,0.10005825471698114,0.28869661783408684,424,-0.5352563796612818,9
Jim,Karen,71,0.137553125,0.305938051822153,384,1.0,2
Pam,Toby,69,0.12931578947368422,0.29689830744081186,380,0.11099742189834352,8
David,Michael,66,0.15860540935672512,0.3265675630864348,684,-0.8787509599925943,6
Darryl,Oscar,66,0.11300383141762452,0.31763972456438055,261,0.5675026382779147,8
Oscar,Ryan,66,0.09552679245283019,0.3122680249327043,265,-0.18911970919955706,7
Kevin,Ryan,65,0.08004117647058824,0.32456659928317055,289,0.5700904342289954,8
Creed,Kevin,63,0.1212824644549763,0.29038498245215244,211,0.3558439071790581,8
Darryl,Phyllis,62,0.10547953488372093,0.2984753658952365,215,0.514401292407999,8
Meredith,Stanley,60,0.004783798882681563,0.3014389991100209,179,-0.4671958365847557,9
Angela,Erin,60,0.07225608695652173,0.32907016052797233,230,0.6621013921594315,5
Creed,Phyllis,57,0.03567668711656442,0.3120198624263109,163,0.7334617679420427,8
Andy,Robert,57,0.16213690476190476,0.3688795700947352,420,0.9999999999999999,2
Kelly,Meredith,57,0.045417727272727276,0.3465572142247198,220,-0.3465074017222611,7
Andy,Creed,56,0.11711183206106872,0.310482474910283,262,-0.15500787632760965,7
Phyllis,Ryan,56,0.14725797101449276,0.3303444101182375,207,-0.059444918293514955,8
Kevin,Toby,56,0.07495953488372092,0.2861846383828023,215,-0.5257544885654376,9
Creed,Oscar,56,0.11592701149425287,0.30211797424571285,174,0.07327309795924396,8
Ryan,Stanley,52,0.0661447619047619,0.2935018049692053,210,-0.3782885700790711,8
Oscar,Toby,51,0.08443283582089552,0.3181272285559263,201,-0.41999358915932206,7
Gabe,Jim,50,0.17597615062761507,0.35025029170161326,239,-0.9999953468045633,3
Erin,Meredith,50,0.09557431693989071,0.3121628271461159,183,0.5209580750901698,5
Erin,Stanley,50,0.069359477124183,0.30947200501387573,153,-0.6579499126771282,5
Dwight,Gabe,49,0.13885494071146248,0.33009813492524154,253,-0.6050851978714169,3
Clark,Dwight,47,0.16291101694915255,0.3065349990018923,354,0.0,1
Nellie,Pam,47,0.12927544483985765,0.3611571011980777,281,0.9999999999999998,2
Jim,Nellie,47,0.082189453125,0.3702288325393512,256,0.7580605908737394,3
Pam,Roy,46,0.1180186813186813,0.31862158221732456,273,0.9862724734800125,4
Kelly,Stanley,46,0.05287423312883436,0.29730042325458717,163,-0.8419921960903595,7
Erin,Pete,46,0.09534812030075188,0.3000527475185975,266,0.0,1
Angela,Creed,44,0.05772312925170067,0.34519963898815814,147,0.21469013593098743,8
Creed,Meredith,43,0.056866412213740454,0.3146833922296235,131,0.46932215408629774,7
Creed,Stanley,43,0.027232203389830505,0.25680420388387964,118,0.21523831868212892,8
Erin,Kelly,43,0.10378571428571429,0.3506102851569291,168,0.27671840813620635,5
Angela,Toby,42,0.05704747474747475,0.3057282253017349,198,-0.07149882456752088,8
Andy,Toby,39,0.07775925925925925,0.33576590210307117,243,-0.9059437037153034,6
Erin,Ryan,39,0.104778612716763,0.2872902672125696,173,-0.15945706032041962,3
Darryl,Erin,38,0.0561627027027027,0.3169663043959486,185,-0.08577707960557517,3
Erin,Nellie,38,0.10985094339622642,0.3669334206685356,159,1.0,2
Gabe,Michael,37,0.1406190972222222,0.3716960325887815,288,-1.0,2
Kevin,Nellie,37,0.12960965909090907,0.3858775872603691,176,0.9999999999999999,2
Karen,Pam,37,0.1665171717171717,0.3469524397705078,198,1.0,2
Andy,Gabe,37,0.13985019762845846,0.3452951400255401,253,-0.24201475726776805,4
Jan,Pam,37,0.14508591549295774,0.2979976152167431,284,-0.6650514445534556,5
Jim,Robert,37,0.1466936507936508,0.3673162696421363,252,-1.0,2
Kelly,Toby,36,0.11924802259887006,0.2897539418021353,177,-0.3370315221910515,8
Andy,Nellie,35,0.1488784232365145,0.35514101253946345,241,1.0,2
Angela,Darryl,34,0.12049615384615385,0.32356387061880454,130,0.5126439159984247,8
Erin,Gabe,33,0.0907418367346939,0.33254363068763193,196,0.47975133398669945,4
Darryl,Meredith,33,0.02723879310344828,0.308820776271876,116,-0.31574140016575714,6
Meredith,Ryan,33,0.06481603773584906,0.30006663698182684,106,-0.47381770850170196,6
Karen,Michael,32,0.1752094202898551,0.40755790570845396,276,-0.21715834161952904,3
Angela,Ryan,32,0.10581150442477877,0.3114130469277929,113,-0.02358363706893849,6
Darryl,Kelly,32,0.12717905405405405,0.3268093746077943,148,0.31668065168082626,6
Ryan,Toby,32,0.08987727272727274,0.3127070940074145,176,0.16319026242521503,8
Darryl,Stanley,31,0.10133052631578945,0.3314211574333477,95,-0.5716573577943991,7
Darryl,Toby,31,0.09086850828729282,0.3097738571917137,181,-0.7192561686658545,7
Gabe,Pam,31,0.21821767955801105,0.3681807451835271,181,0.9965206134022159,3
Creed,Kelly,31,0.10956435643564359,0.36459423413051867,101,-0.25953295301377366,7
Kevin,Robert,30,0.1498529411764706,0.38165234228771927,170,-0.7260918741435719,3
Dwight,Jan,30,0.11941957295373665,0.2813359254103678,281,0.4998635316476758,7
Darryl,Gabe,29,0.09260694444444445,0.3204776982734736,144,0.14693179480092664,3
David,Dwight,29,0.12091310861423221,0.32587542841842315,267,-0.4612133901734514,4
Creed,Ryan,29,0.07249117647058824,0.30046688444425207,102,0.019477351291678928,7
Phyllis,Toby,29,0.06756371681415928,0.3010761436227581,113,0.23614436939010933,7
Creed,Erin,28,0.095638679245283,0.30114989108439405,106,-0.8539466075928838,4
Gabe,Kevin,28,0.128468345323741,0.33264046614536535,139,0.9784235191631501,4
Dwight,Robert,27,0.1330661111111111,0.3591992106159182,180,0.9185358066183466,3
All,Jim,27,0.12851545454545454,0.2882961448316529,110,-0.6226379778066591,6
Charles,Jim,27,0.13015439330543932,0.24547585939041008,239,0.0,1
Jim,Roy,27,0.1530920634920635,0.34876054184135774,189,0.9008647830256966,5
David,Jim,27,0.20068480392156865,0.31897680629687436,204,-0.31453493243923336,5
Angela,Nellie,26,0.09072678571428572,0.3685718940291566,112,0.9999999999999999,2
Dwight,Holly,26,0.08513668341708543,0.31681857863753005,199,-0.7311601702252123,3
Stanley,Toby,25,0.011617021276595743,0.2878056161526379,94,0.1836117761793991,7
Holly,Kevin,25,0.1710279792746114,0.33338543945092375,193,-0.9202693215108798,3
Nellie,Phyllis,25,0.03941287128712871,0.36586522072386174,101,-0.9999999999999998,2
Michael,Roy,25,0.13166976744186046,0.3721619716679283,172,-0.8814727785459998,3
Creed,Toby,25,0.05870344827586207,0.2472471007690163,87,0.6786689664359232,8
Darryl,Val,24,0.17458260869565215,0.29985654901535436,138,-1.0,2
Darryl,Ryan,24,0.11237719298245614,0.3226088642681744,114,-0.01684355674041001,8
Charles,Dwight,23,0.14061270718232044,0.3377366295554865,181,0.0,1
Erin,Robert,23,0.17776854838709683,0.3705807877109571,124,-0.9999999999999999,2
Meredith,Toby,23,0.08418053097345132,0.3019072153834735,113,-0.6110131584588108,8
Jo,Michael,23,0.18846018518518518,0.33843371579801945,216,-1.0,2
Oscar,Robert,23,0.13461692307692308,0.3722350971627518,130,-0.8917308005744068,3
Gabe,Oscar,22,0.14176960784313727,0.330197969670251,102,-0.2240169407920992,3
All,Dwight,22,0.12707961165048542,0.29800074488706774,103,-0.24395185439284095,6
Andy,Clark,21,0.19527272727272726,0.3402387332739098,154,0.0,1
Darryl,Nellie,21,0.14312947368421053,0.3360123180303723,95,0.9999999999999999,2
Nellie,Oscar,21,0.0305534090909091,0.3719111284814937,88,0.9999999999999999,2
Nellie,Stanley,21,0.13921379310344828,0.348880340508975,87,1.0,2
Darryl,Holly,20,0.09436693548387096,0.19981372079925092,124,0.9999999999999999,2
Carol,Michael,20,0.1808386740331492,0.3016235073096553,181,-1.0,2
Everyone,Jim,20,0.13261862745098038,0.3390424152800065,102,-0.7428737293756397,7
Andy,Karen,20,0.12066781609195404,0.32011593319973,87,0.0,1
Gabe,Toby,20,0.15102264150943398,0.3050241840962589,106,-0.5354178894697664,3
Dwight,Karen,20,0.1050405172413793,0.35085011019503815,116,1.0,2
Charles,Michael,20,0.164453125,0.3195022423197954,224,0.0,1
Jan,Jim,19,0.13302075471698113,0.3181003949500141,159,-0.3829773250412835,4
Meredith,Nellie,19,0.1387029850746269,0.35230930566302243,67,1.0,2
Karen,Phyllis,19,0.12677125,0.3012247533793289,80,0.0,1
Andy,David,19,0.14875976331360946,0.36704350246331247,169,-0.17204940268817479,4
Holly,Jim,18,0.10135827814569535,0.3234591572439745,151,-0.7334065934842204,3
Andy,Pete,17,0.0936328,0.3497881605259961,125,0.0,1
Erin,Toby,17,0.06276623376623378,0.31522242883250273,77,-0.23157112757436638,5
Nellie,Robert,17,0.16994587155963303,0.39197188921209297,109,-1.0,2
All,Andy,17,0.1676529411764706,0.32270797009360913,68,-0.6193980392746762,5
Nellie,Toby,17,0.09451196581196582,0.28810166153319366,117,0.9300777329512407,3
DeAngelo,Michael,17,0.22478962962962962,0.35305089430070774,135,0.0,1
Dwight,Everyone,16,0.07285533980582522,0.33774570508955093,103,-0.3742216642503505,6
Everyone,Oscar,16,0.12644791666666666,0.32659065611607196,48,-0.0013629038014375222,6
Clark,Pam,16,0.2115826446280992,0.3094696382062679,121,-1.0,2
Gabe,Phyllis,16,0.1348558823529412,0.32612093136927384,68,0.9894487232311668,3
Gabe,Meredith,16,0.19422463768115944,0.41609748384200945,69,0.8815009127111044,4
Andy,Everyone,16,0.10170581395348838,0.34596668086468024,86,-0.7309437432935895,6
Angela,Jan,16,0.10594285714285714,0.3082104836933737,105,0.4506842498083516,4
All,Michael,16,0.18033492063492063,0.38253007212784795,126,0.16085210114250656,6
All,Oscar,16,0.16005869565217393,0.3310197219765449,46,-0.5228000104091699,6
Everyone,Phyllis,15,0.13040571428571426,0.23652377221854423,35,-0.39764487270928006,6
All,Kevin,15,0.1443941176470588,0.3278239995352389,51,0.02459001284814218,6
Darryl,Roy,15,0.08197052631578948,0.2862985544657826,95,0.8982976818488757,5
All,Pam,15,0.08276714285714286,0.3338860351854158,70,-0.7206370699227888,5
Donna,Michael,15,0.12469647887323942,0.30635972720380594,142,-1.0,2
Gabe,Kelly,15,0.11184605263157896,0.3348699686527159,76,0.9877356300349954,3
Clark,Jim,15,0.21656382978723404,0.30910570210640637,141,-1.0,2
Nellie,Pete,15,0.12316833333333332,0.3438028802922137,60,0.0,1
Angela,Karen,15,0.14496052631578946,0.3243720176128781,76,0.0,1
Creed,Darryl,15,0.08999285714285714,0.332588503719119,56,0.20635532935456724,6
Gabe,Robert,14,0.17499843750000002,0.37058446089091296,64,-1.0,2
Deangelo,Jim,14,0.1568398058252427,0.3583451908343923,103,0.0,1
Pam,Robert,14,0.14867666666666668,0.3037977364592728,90,1.0,2
Gabe,Ryan,14,0.19874150943396227,0.3252516897314959,53,0.7489873815469626,3
Angela,Gabe,14,0.15074473684210526,0.2847251275559866,38,-0.8821556511636492,3
Helene,Pam,14,0.22503536585365852,0.29032394622086616,82,-0.22352506481920612,3
Andy,Jessica,14,0.1503748148148148,0.29686281398765557,135,1.0,2
Helene,Michael,14,0.14928217821782178,0.33842365926118495,101,-0.9999999999999999,2
Everyone,Kevin,14,0.13170454545454546,0.29075210775015375,44,-0.45082284580373166,6
Cathy,Jim,14,0.09801299999999999,0.31620478701468135,100,0.0,1
All,Stanley,14,0.07226857142857142,0.26137793739162846,35,0.0422408057193291,6
Everyone,Michael,14,0.17137833333333333,0.3863035756119215,120,0.46043440179223516,4
Holly,Pam,14,0.09845384615384616,0.2668769649263196,104,-0.33899765016244565,3
Kevin,Pete,13,0.12271884057971014,0.29222546302339136,69,0.0,1
Robert,Ryan,13,0.13154833333333332,0.3977336338521325,60,-1.0,2
Meredith,Robert,13,0.08125833333333332,0.40276920802185906,72,0.9234537375966384,3
Phyllis,Robert,13,0.13368593750000002,0.33876635886108303,64,0.9999999999999998,2
Jim,Jo,13,0.12226494845360826,0.346762010559498,97,1.0,2
Clark,Erin,13,0.16277936507936508,0.3217733423699271,63,0.0,1
Michael,Todd Packer,13,0.11040729166666667,0.3643491269387073,96,-0.1836806012596713,4
Pam,Pete,13,0.12446571428571429,0.31266294078252305,70,-0.22056228259736393,3
Clark,Pete,13,0.157569696969697,0.3424379191556708,66,0.0,1
Everyone,Pam,13,0.1213267857142857,0.2968103221221253,56,-0.22602900058420056,5
Creed,Nellie,13,0.11266346153846153,0.3681946370879476,52,1.0,2
Charles,Pam,13,0.09537628865979382,0.2146009193652523,97,0.0,1
All,Phyllis,13,0.14378333333333335,0.3224549220003041,30,0.5850901971454888,5
Clark,Kevin,12,0.09748125,0.24500608806742774,48,0.0,1
Erin,Holly,12,0.11045402298850575,0.29902236982578634,87,0.0,1
Kevin,Roy,12,0.08448387096774193,0.25815650304114934,62,0.9922647793991471,3
Deangelo,Michael,12,0.17732926829268295,0.3142128903214826,123,0.0,1
Josh,Michael,12,0.2089164705882353,0.33147984726146545,85,1.0,2
Angela,Everyone,12,0.08524565217391304,0.2909815149563865,46,0.1511992043594566,5
All,Angela,12,0.051402941176470596,0.3491216613203973,34,-0.5242764983281206,6
Meredith,Pete,12,0.08083499999999999,0.3425679104571822,40,0.0,1
Holly,Oscar,12,0.08938764044943821,0.27346233346618254,89,-1.0,2
Andy,Charles,12,0.15077848101265823,0.32791382654319257,79,0.0,1
Clark,Darryl,12,0.12017021276595743,0.3005735700749724,47,0.0,1
Erin,Jessica,11,0.13956506024096385,0.3028873946526237,83,0.0,1
Angela,Senator Lipton,11,0.15353114754098357,0.27692024036107216,61,1.0,2
Darryl,Deangelo,11,0.19048400000000004,0.37515446224721893,50,0.0,1
Dwight,Roy,11,0.08160701754385964,0.3361039552321334,57,0.9998375041123698,3
Group,Pam,11,0.11558297872340424,0.23591658579878824,47,0.2668145771396433,4
Holly,Kelly,11,0.1421818181818182,0.3352482432533934,77,-0.9999999999999998,2
Dwight,Packer,11,0.12919545454545453,0.37264906166681416,66,0.0,1
Andy,Group,11,0.06486760563380281,0.37900717068345596,71,-0.6004664976035771,4
Clark,Stanley,11,0.0678076923076923,0.3316323252814744,39,0.0,1
